Deal Num,Tran Num,Param Seq Num,Param Seq Num_1,Profile Seq Num,Ins Seq Num,Instrument Source ID,Price Band,Commodity Option Exercised Flag,Cash Flow Type,Start Date,End Date,Payment Date,Rate Dtmn Date,Currency,Settlement Type,Volume,Price,Strike,Pymt,Total Value,Realized Value,Unrealized Value,Base Total Value,Base Realized Value,Base Unrealized Value,Df,Tran Status,Rate Status,Strategy,Previous Pymt,Previous Total Value,Previous Realized Value,Previous Unrealized Value,Previous Base Total Value,Previous Base Realized Value,Previous Base Unrealized Value,Change in Total Value,Previous Tran Status,New Deal,Event Source,Param ID,Param ID_1,Previous Volume,Previous Price
24536,25056,0,1,0,0,2,Off Peak,Yes,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,90655.71,128.0,0,11603930.88,12508685.49,2196423.58,10312261.91,13700966.79,6118090.33,7582876.46,1,Validated,Known,WestGas1,9457397.4,11471692.28,1281880.78,8020613.22,16063169.7,51641.83,5493884.18,1036993.21,d,Existing Deal,Profile,3,1,89620.53,107.63
25007,24834,3,1,0,0,1,Peak,No,Cash Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,16351.75,41.72,0,682195.01,728230.24,166277.29,561952.95,655378.55,260547.95,394830.6,1,t,n,EastCoal2,747516.83,612714.64,29717.98,533881.48,642560.18,86375.88,335946.13,115515.6,t,Existing Deal,Profile,2,4,15064.32,49.16
25630,25810,2,0,0,0,0,Hourly,No,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Physical Settlement,-9634.1,22.7,0,-218694.07,-235605.39,-75808.8,-159796.59,-184810.96,-16515.94,-168295.02,1,t,n,NorthPower,-191600.33,-236631.53,-59691.1,-91119.65,-213530.39,-13927.15,-135290.78,1026.14,t,Existing Deal,Profile,5,1,-8688.49,22.57
25444,24480,3,0,0,0,0,Peak,Yes,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Physical Settlement,20806.18,133.82,0,2784283.01,2941473.08,958830.4,1982642.68,3325447.72,922062.29,2403385.43,1,t,n,EastCoal2,2301080.86,3238129.22,75083.22,543045.35,2966759.9,492514.97,2166731.97,-296656.14,t,Existing Deal,Profile,3,1,17556.02,125.93
24139,25054,4,4,0,0,2,Peak,No,Cash Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,74588.08,100.67,0,7508782.01,7946567.31,212307.66,7734259.65,7321937.25,4877099.3,2444837.95,1,t,n,NorthPower,6443864.97,8418797.95,145932.92,2450854.33,6474666.19,1723287.15,273631.71,-472230.64,t,Existing Deal,Profile,3,4,85790.89,82.4
25119,25512,3,2,0,0,0,Hourly,No,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Cash Settlement,3263.14,82.2,0,268230.11,266432.99,100435.75,165997.24,239944.41,22707.09,217237.32,1,t,n,EastCoal1,234327.55,265382.59,44315.82,61486.16,202804.5,14518.5,81227.87,1050.4,t,New Deal,Profile,1,0,2781.81,77.45
25452,25177,0,3,0,0,2,Hourly,No,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,3754.36,91.58,0,343824.29,313945.43,59686.98,254258.45,336157.35,214981.92,121175.43,1,t,n,NorthPower,302403.82,363145.64,58794.77,174635.8,399537.34,49103.94,63560.62,-49200.21,t,Existing Deal,Profile,0,5,4355.72,79.58
25065,25152,2,2,0,0,2,Hourly,Yes,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Cash Settlement,58305.87,194.85,0,11360898.77,10733320.87,4639622.17,6093698.7,12716339.29,7781196.3,4935142.99,1,t,n,EastCoal2,9844116.66,9189065.11,4130621.12,3970915.53,13384799.05,4772779.48,3613436.46,1544255.76,t,Existing Deal,Profile,4,2,69362.35,187.37
24064,24446,4,0,0,0,1,Hourly,Yes,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Physical Settlement,37324.9,184.84,0,6899134.52,7482282.75,25310.25,7456972.5,7428533.6,2046915.52,5381618.08,1,t,n,EastCoal2,7145437.28,6700731.27,1299.97,6398319.21,8601459.75,1709129.29,4652063.47,781551.48,t,New Deal,Profile,3,5,42911.13,220.8
25401,24603,4,1,0,0,1,Hourly,No,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Physical Settlement,27010.16,30.1,0,813005.82,792368.66,208148.51,584220.15,674108.05,56956.99,617151.06,1,t,n,EastCoal1,838051.69,682021.24,25969.17,356725.16,665391.56,12865.02,419407.86,110347.42,t,Existing Deal,Profile,0,5,24984.75,32.21
24690,24756,3,4,0,0,2,Off Peak,No,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Cash Settlement,16592.8,160.41,0,2661651.05,2871866.29,420281.47,2451584.82,3065102.44,645893.01,2419209.43,1,t,n,EastCoal1,2666955.04,2545717.49,217824.9,1707041.27,3662248.45,7398.21,1119751.92,326148.8,t,Existing Deal,Profile,1,3,19654.72,190.08
24680,24236,0,3,0,0,1,Peak,Yes,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Physical Settlement,91296.64,27.46,0,2507005.73,2669038.97,204941.55,2464097.42,2346828.91,363388.75,1983440.16,1,t,n,WestGas1,2633022.24,3105779.79,67668.34,1930432.13,2315355.33,285886.59,69107.28,-436740.82,t,Existing Deal,Profile,5,0,75169.91,24.98
24614,25146,0,4,0,0,1,Off Peak,No,Cash Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,39449.32,14.64,0,577538.04,567187.65,157855.72,409331.93,517989.27,273431.1,244558.17,1,t,n,EastCoal1,535545.35,517117.93,140110.69,88782.31,502157.09,187120.78,199548.13,50069.72,t,Existing Deal,Profile,0,4,38826.44,16.11
24694,25529,0,0,0,0,0,Peak,Yes,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,90867.78,179.83,0,16340752.88,15475690.8,1608437.82,13867252.98,18689589.53,6696451.12,11993138.41,1,t,n,EastCoal2,18769943.91,13448370.41,1189093.99,1555156.32,19232795.44,3422995.66,7402610.32,2027320.39,t,New Deal,Profile,2,5,107003.89,194.13
25564,25886,1,1,0,0,0,Off Peak,Yes,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Physical Settlement,98725.14,102.17,0,10086747.55,10968807.1,2162511.7,8806295.4,9526772.24,3392706.34,6134065.9,1,t,n,EastCoal1,9753323.36,9578454.96,1136670.99,7729459.34,9599472.63,3168633.75,4869151.73,1390352.14,t,Existing Deal,Profile,4,0,116260.89,99.05
25363,25827,3,0,0,0,1,Peak,Yes,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Cash Settlement,75624.21,76.78,0,5806426.84,5443035.95,1968689.88,3474346.07,6843172.03,2281357.01,4561815.02,1,t,n,NorthPower,6335219.97,6056336.76,1084545.92,1076426.68,5564733.9,737117.48,2900601.7,-613300.81,t,Existing Deal,Profile,4,0,70733.0,86.85
25934,25285,1,1,0,0,0,Off Peak,Yes,Cash Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,5797.64,78.28,0,453839.26,477577.33,218552.11,259025.22,492885.44,189879.77,303005.67,1,t,n,EastCoal1,369002.01,419086.12,77579.03,143577.13,570979.16,70188.62,283266.42,58491.21,t,New Deal,Profile,5,0,5744.31,85.95
25371,25394,1,2,0,0,1,Peak,Yes,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,18793.41,80.07,0,1504788.34,1465709.96,684896.87,780813.09,1382749.91,384268.95,998480.96,1,t,n,EastCoal1,1445186.02,1338920.46,538746.46,580346.39,1539125.68,296389.77,923735.67,126789.5,t,New Deal,Profile,3,2,21589.39,94.01
24933,24412,1,3,0,0,2,Hourly,No,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Physical Settlement,90950.92,166.14,0,15110585.85,15134894.34,6029385.59,9105508.75,15659558.71,8306038.76,7353519.95,1,t,n,NorthPower,15051906.12,14555379.53,1994507.55,2400521.59,13279366.3,196575.2,5758721.02,579514.81,t,New Deal,Profile,1,3,106695.24,151.21
25410,25934,4,4,0,0,0,Peak,Yes,None,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Physical Settlement,77178.7,116.79,0,9013700.37,9718394.53,92132.95,9626261.58,10691300.6,3464961.87,7226338.73,1,t,n,WestGas1,8874945.84,10392823.61,2385.1,5732492.56,10116169.47,300438.29,5927926.76,-674429.08,t,New Deal,Profile,4,3,66331.95,105.47
24822,25213,2,4,0,0,1,Peak,No,Cash Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Physical Settlement,-7027.61,81.96,0,-575982.92,-545927.15,-204581.35,-341345.8,-660588.16,-80553.85,-580034.31,1,t,n,EastCoal1,-566060.81,-576651.79,-71800.7,-271063.75,-762006.63,-34357.81,-203368.09,30724.64,t,New Deal,Profile,4,5,-6418.85,75.57
25971,25062,3,0,0,0,1,Off Peak,No,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Physical Settlement,-3644.52,120.18,0,-437998.41,-478060.93,-80326.76,-397734.17,-472735.21,-118232.12,-354503.09,1,t,n,NorthPower,-387614.55,-435226.59,-20744.53,-266168.99,-501693.34,-90798.35,-336708.85,-42834.34,t,Existing Deal,Profile,5,2,-3636.19,135.79
25524,24258,4,0,0,0,1,Peak,No,Physical Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,JPY,Physical Settlement,-3314.87,74.67,0,-247521.34,-259516.96,-37314.66,-222202.3,-238923.46,-98605.54,-140317.92,1,t,n,EastCoal2,-224763.78,-269629.34,-20963.56,-102718.27,-263958.37,-93159.53,-132871.42,10112.38,t,Existing Deal,Profile,4,4,-3189.19,78.01
25931,24153,0,0,0,0,0,Hourly,No,Cash Settlement,2025-01-04,2025-01-04,2025-01-04,2025-01-04,USD,Cash Settlement,30441.22,82.74,0,2518706.54,2496697.39,551970.53,1944726.86,2408430.86,66304.05,2342126.81,1,t,n,EastCoal2,2366726.93,2411956.24,45017.59,895148.88,2797426.14,22121.07,2165296.34,84741.15,t,Existing Deal,Profile,0,4,25595.65,72.91
